"Mage_Tax::Alternative Tax","Alternative Steuer"
"Mage_Tax::Alternative Tax Section","Alternative Steuern"
"Customer Groups the alternative Tax Settings are active for","Kundengruppen, für die die alternativen Steuereinstellungen aktiv sind"
